"Geschäft";"Geschäfts ID";"Datum und Uhrzeit";"Belegnummer";"Grund";"Buchungstext";"Währung";"Einnahmen";"Ausgaben";"Mehrwertsteuersatz";"Betrag MwSt";"Kassenbestand"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 12:26:13";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3931";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"260,75"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 12:26:14";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3932";"Wechselgeld";"";"EUR";"";"-1,30";"0,00";"0,00";"259,45"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 12:43:12";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3933";"Sonstige Einnahme";"";"EUR";"3,80";"";"0,00";"0,00";"263,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 12:59:56";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3934";"Sonstige Einnahme";"";"EUR";"10,00";"";"0,00";"0,00";"273,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 12:59:56";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3935";"Wechselgeld";"";"EUR";"";"-6,50";"0,00";"0,00";"266,75"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 13:19:25";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3936";"Sonstige Einnahme";"";"EUR";"3,50";"";"0,00";"0,00";"270,25"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 13:20:29";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3937";"Erstattung";"";"EUR";"";"-3,50";"0,00";"0,00";"266,75"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 13:28:56";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3938";"Sonstige Einnahme";"";"EUR";"20,00";"";"0,00";"0,00";"286,75"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 13:28:56";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3939";"Wechselgeld";"";"EUR";"";"-10,10";"0,00";"0,00";"276,65"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-22 13:31:08";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3940";"Sonstige Einnahme";"";"EUR";"10,00";"";"0,00";"0,00";"286,65"
